Total Time Per Meal,Satisfaction Score
19,6.866666666666667
22,6.8
16,6.6
13,7.4
16,5.933333333333333
21,6.4
21,5.533333333333333
11,7.2
28,5.533333333333333
16,6.266666666666666
26,6.6
26,7.733333333333334
25,6.066666666666667
25,6.266666666666667
32,6.666666666666666
19,5.666666666666666
11,6.666666666666667
18,6.066666666666666
23,6.933333333333333
14,5.933333333333333
21,6.333333333333334
27,7.6
15,6.133333333333333
17,7.066666666666667
31,6.066666666666667
29,7.7333333333333325
16,6.9333333333333345
26,5.333333333333333
30,6.666666666666666
20,6.2666666666666675
30,6.866666666666665
26,6.466666666666666
30,6.8
17,7.066666666666667
27,7.533333333333333
21,6.133333333333334
23,7.466666666666667
26,6.133333333333333
24,6.8
17,7.7333333333333325
15,7.0666666666666655
21,5.866666666666666
14,7.2
18,8.0
29,5.933333333333333
17,6.8
17,7.0
17,6.733333333333334
16,5.733333333333333
31,7.2
29,6.7333333333333325
13,6.7333333333333325
22,6.6
15,6.933333333333333
22,5.999999999999999
20,6.2
29,7.666666666666667
14,6.9333333333333345
23,6.133333333333333
33,6.0
33,6.666666666666667
26,7.133333333333335
12,6.866666666666665
16,6.2
22,5.8
25,7.8
15,6.733333333333334
23,8.2
20,6.466666666666667
31,6.2
18,7.066666666666667
32,7.2666666666666675
26,7.066666666666667
12,7.9333333333333345
18,6.4
27,7.0666666666666655
28,7.2
5,7.333333333333333
25,6.6
24,6.866666666666667
17,5.666666666666667
14,7.333333333333333
24,6.7333333333333325
24,5.866666666666666
21,8.2
29,5.466666666666667
18,6.866666666666665
23,6.7333333333333325
27,6.333333333333333
11,6.6
18,5.733333333333333
26,7.2666666666666675
29,5.733333333333333
19,6.666666666666667
27,6.066666666666667
30,6.266666666666667
33,6.333333333333333
22,7.333333333333334
25,6.933333333333333
22,6.066666666666666
22,5.866666666666666
17,5.866666666666667
19,6.333333333333334
35,6.866666666666667
15,6.066666666666667
21,6.066666666666667
20,5.6
35,5.533333333333333
32,7.466666666666667
18,6.199999999999999
25,6.466666666666667
25,5.800000000000001
26,7.333333333333333
16,6.533333333333333
23,7.066666666666667
17,4.933333333333333
30,7.6
24,6.466666666666667
27,5.199999999999999
22,6.666666666666667
16,6.9333333333333345
25,6.666666666666666
23,7.7333333333333325
21,7.933333333333333
26,6.000000000000001
22,6.466666666666667
23,7.2666666666666675
24,5.800000000000001
23,7.066666666666667
24,6.533333333333334
35,7.6
20,6.066666666666666
30,6.266666666666667
31,6.866666666666667
22,5.733333333333333
9,6.133333333333333
22,6.533333333333333
25,7.866666666666667
27,6.666666666666667
21,5.866666666666667
25,7.2
17,6.533333333333334
20,5.666666666666667
26,5.533333333333333
19,6.2
15,6.6
27,6.533333333333334
27,7.866666666666667
24,6.4
20,4.933333333333334
32,7.2
20,6.7333333333333325
15,5.133333333333334
24,5.666666666666666
17,5.8
22,6.2
13,7.666666666666667
31,7.866666666666665
16,6.333333333333333
16,6.866666666666665
16,6.2
26,7.0
23,6.200000000000001
23,7.2
12,5.2666666666666675
25,7.2666666666666675
25,6.2
24,5.133333333333333
22,7.133333333333335
20,5.666666666666666
34,6.6
16,6.533333333333333
17,5.7333333333333325
22,6.133333333333334
23,5.466666666666667
19,6.466666666666667
25,7.066666666666667
34,6.466666666666667
24,5.466666666666667
26,6.6
29,7.2
27,5.6
21,5.7333333333333325
22,6.2
14,6.2
23,6.7333333333333325
20,7.0
16,6.666666666666666
30,8.066666666666666
30,7.133333333333333
15,6.6
12,5.066666666666666
19,5.133333333333334
24,7.4
18,5.7333333333333325
13,6.333333333333333
23,6.7333333333333325
25,6.7333333333333325
26,7.0
25,7.333333333333333
18,5.6000000000000005
12,6.733333333333334
21,5.733333333333333
23,5.733333333333333
22,6.666666666666667
25,5.866666666666666
7,5.533333333333333
26,5.8
22,6.2666666666666675
20,7.933333333333333
26,7.7333333333333325
29,6.199999999999999
29,7.666666666666667
23,6.533333333333333
24,7.866666666666667
20,6.333333333333333
32,6.0
29,6.866666666666667
18,6.8
25,6.8
25,7.466666666666667
22,6.666666666666667
24,7.0
31,6.6
19,6.4
21,6.199999999999999
27,6.333333333333334
14,6.333333333333334
27,6.066666666666666
13,6.533333333333333
20,7.2
27,5.866666666666665
15,7.2
19,7.7333333333333325
18,7.0
17,6.8
23,7.333333333333334
10,6.8
19,6.7333333333333325
22,7.0
33,5.333333333333334
36,6.666666666666666
22,6.666666666666667
19,6.333333333333333
23,6.333333333333334
13,6.666666666666667
17,6.466666666666667
11,7.533333333333333
25,7.066666666666667
25,6.8
25,6.2666666666666675
28,6.3999999999999995
17,6.666666666666666
24,6.4
23,5.733333333333333
31,7.0
23,5.4
29,7.066666666666667
27,5.8
19,6.0
22,6.200000000000001
20,5.6
23,6.666666666666667
21,6.8
15,6.666666666666667
33,7.7333333333333325
31,7.866666666666667
18,7.333333333333333
13,7.133333333333333
27,6.933333333333333
16,6.866666666666665
27,6.2
22,8.066666666666666
28,6.7333333333333325
15,6.333333333333333
30,5.666666666666667
32,6.8
11,6.133333333333333
27,7.8
30,6.7333333333333325
30,7.133333333333333
27,5.266666666666667
14,7.266666666666666
28,6.9333333333333345
21,7.666666666666667
32,6.133333333333333
21,6.266666666666667
24,6.7333333333333325
17,4.933333333333334
27,6.6
20,7.133333333333335
26,6.7333333333333325
29,6.333333333333333
13,6.6
27,6.0
22,6.8
13,6.266666666666667
27,7.2
10,6.999999999999998
22,6.866666666666665
20,6.4
19,6.533333333333333
18,6.0666666666666655
23,6.666666666666666
33,6.066666666666666
26,6.466666666666666
24,7.333333333333334
19,7.133333333333333
26,6.466666666666666
22,5.533333333333333
19,6.866666666666667
24,5.866666666666667
18,6.4
35,7.2666666666666675
12,6.533333333333333
16,5.266666666666667
18,7.2
20,6.066666666666667
23,6.266666666666667
19,4.7333333333333325
24,5.6
26,7.933333333333333
29,6.6
24,4.933333333333333
23,5.666666666666666
11,6.4
23,5.733333333333333
19,6.266666666666667
19,6.066666666666667
21,6.0
13,7.533333333333334
23,5.8
21,6.866666666666667
19,7.6
30,6.8
16,6.533333333333334
27,6.333333333333334
26,6.8
14,5.666666666666666
20,7.333333333333333
29,7.2
15,7.266666666666666
17,6.666666666666667
31,6.6
32,7.0666666666666655
17,6.0
24,5.666666666666666
20,6.666666666666667
33,7.0
18,6.0
17,6.666666666666667
23,6.933333333333333
23,7.533333333333334
19,7.2
14,6.6
30,5.733333333333333
31,6.333333333333333
32,6.7333333333333325
18,6.4
8,6.666666666666667
33,6.666666666666667
29,7.2
24,6.533333333333333
17,6.066666666666667
29,6.3999999999999995
25,7.2
30,8.666666666666668
10,5.733333333333333
33,6.8
22,7.9333333333333345
24,6.333333333333334
20,6.333333333333334
28,7.466666666666667
18,6.000000000000001
25,7.0
23,6.933333333333333
25,6.733333333333334
22,7.866666666666665
13,6.666666666666667
12,6.133333333333334
17,6.666666666666667
21,6.4
21,5.866666666666666
27,8.333333333333332
23,7.333333333333334
12,5.6
12,7.533333333333334
19,6.466666666666667
21,7.733333333333334
22,6.066666666666666
31,7.666666666666667
23,5.866666666666666
26,6.0
14,6.4
13,6.666666666666667
22,7.466666666666667
25,7.0
28,7.0
26,7.466666666666666
19,6.3999999999999995
18,4.7333333333333325
19,7.333333333333333
25,7.133333333333333
29,4.799999999999999
29,6.3999999999999995
16,6.333333333333334
16,6.6
28,7.2666666666666675
31,6.866666666666665
16,6.666666666666667
11,5.7333333333333325
32,5.8
30,6.4
21,6.533333333333334
33,5.866666666666666
27,5.2
27,5.733333333333333
14,6.666666666666667
23,6.533333333333333
14,7.7333333333333325
22,6.4
17,5.6
19,7.0
13,6.066666666666666
23,6.866666666666667
21,6.333333333333334
31,7.0666666666666655
27,6.4
17,6.866666666666667
35,7.4
24,7.6
32,6.200000000000001
17,6.733333333333334
23,8.0
31,6.7333333333333325
25,6.666666666666666
21,5.866666666666666
18,5.866666666666666
28,7.333333333333334
18,6.8
20,7.133333333333333
26,6.8
23,8.8
20,6.4
18,6.4
25,5.933333333333333
25,7.533333333333334
20,6.7333333333333325
26,6.866666666666667
15,4.266666666666667
25,5.6
22,6.533333333333334
22,5.933333333333334
26,6.9333333333333345
21,5.4
30,6.8
18,7.0
22,6.533333333333334
19,6.8
